     Time, t (s)  Output Voltage, Vout (V)
1           0.00                  4.181392
2           0.25                 -3.106770
3           0.50                  1.277745
4           0.75                  0.582079
5           1.00                 -1.885269
6           1.25                  2.336706
7           1.50                 -1.966923
8           1.75                  1.056946
9           2.00                 -0.000000
10          2.25                 -0.843989
11          2.50                  1.254166
12          2.75                 -1.189749
13          3.00                  0.766493
14          3.25                 -0.188974
15          3.50                 -0.331243
16          3.75                  0.643125
17          4.00                 -0.691179
18          4.25                  0.513546
19          4.50                 -0.211210
20          4.75                 -0.096217
21          5.00                  0.311633
22          5.25                 -0.386255
23          5.50                  0.325130
24          5.75                 -0.174712
25          6.00                  0.000000
26          6.25                  0.139510
27          6.50                 -0.207312
28          6.75                  0.196664
29          7.00                 -0.126700
30          7.25                  0.031237
31          7.50                  0.054754
32          7.75                 -0.106308
33          8.00                  0.114251
34          8.25                 -0.084889
35          8.50                  0.034913
36          8.75                  0.015905
37          9.00                 -0.051513
38          9.25                  0.063848
39          9.50                 -0.053744
40          9.75                  0.028880
41         10.00                 -0.000000
42         10.25                 -0.023061
43         10.50                  0.034268
44         10.75                 -0.032508
45         11.00                  0.020943
46         11.25                 -0.005163
47         11.50                 -0.009051
48         11.75                  0.017573
49         12.00                 -0.018886
50         12.25                  0.014032
51         12.50                 -0.005771
52         12.75                 -0.002629
53         13.00                  0.008515
54         13.25                 -0.010554
55         13.50                  0.008884
56         13.75                 -0.004774
57         14.00                  0.000000
58         14.25                  0.003812
59         14.50                 -0.005665
60         14.75                  0.005374
61         15.00                 -0.003462
62         15.25                  0.000854
63         15.50                  0.001496
64         15.75                 -0.002905
65         16.00                  0.003122
66         16.25                 -0.002319
67         16.50                  0.000954
68         16.75                  0.000435
69         17.00                 -0.001408
70         17.25                  0.001745
71         17.50                 -0.001468
72         17.75                  0.000789
73         18.00                 -0.000000
74         18.25                 -0.000630
75         18.50                  0.000936
76         18.75                 -0.000888
77         19.00                  0.000572
78         19.25                 -0.000141
79         19.50                 -0.000247
80         19.75                  0.000480
81         20.00                 -0.000516
82         20.25                  0.000383
83         20.50                 -0.000158
84         20.75                 -0.000072
85         21.00                  0.000233
86         21.25                 -0.000288
87         21.50                  0.000243
88         21.75                 -0.000130
89         22.00                  0.000000
90         22.25                  0.000104
91         22.50                 -0.000155
92         22.75                  0.000147
93         23.00                 -0.000095
94         23.25                  0.000023
95         23.50                  0.000041
96         23.75                 -0.000079
97         24.00                  0.000085
98         24.25                 -0.000063
99         24.50                  0.000026
100        24.75                  0.000012
101        25.00                 -0.000038
102        25.25                  0.000048
103        25.50                 -0.000040
104        25.75                  0.000022
105        26.00                 -0.000000
106        26.25                 -0.000017
107        26.50                  0.000026
108        26.75                 -0.000024
109        27.00                  0.000016
110        27.25                 -0.000004
111        27.50                 -0.000007
112        27.75                  0.000013
113        28.00                 -0.000014
114        28.25                  0.000010
115        28.50                 -0.000004
116        28.75                 -0.000002
117        29.00                  0.000006
118        29.25                 -0.000008
119        29.50                  0.000007
120        29.75                 -0.000004
121        30.00                  0.000000
122        30.25                  0.000003
123        30.50                 -0.000004
124        30.75                  0.000004
125        31.00                 -0.000003
126        31.25                  0.000001
127        31.50                  0.000001
128        31.75                 -0.000002
129        32.00                  0.000002
130        32.25                 -0.000002
131        32.50                  0.000001
132        32.75                  0.000000
133        33.00                 -0.000001
134        33.25                  0.000001
135        33.50                 -0.000001
136        33.75                  0.000001
137        34.00                 -0.000000
138        34.25                 -0.000000
139        34.50                  0.000001
140        34.75                 -0.000001
141        35.00                  0.000000
142        35.25                 -0.000000
143        35.50                 -0.000000
144        35.75                  0.000000
145        36.00                 -0.000000
146        36.25                  0.000000
147        36.50                 -0.000000
148        36.75                 -0.000000
149        37.00                  0.000000
150        37.25                 -0.000000
151        37.50                  0.000000
152        37.75                 -0.000000
153        38.00                  0.000000
154        38.25                  0.000000
155        38.50                 -0.000000
156        38.75                  0.000000
157        39.00                 -0.000000
158        39.25                  0.000000
159        39.50                  0.000000
160        39.75                 -0.000000
161        40.00                  0.000000
162        40.25                 -0.000000
163        40.50                  0.000000
164        40.75                  0.000000
165        41.00                 -0.000000
166        41.25                  0.000000
167        41.50                 -0.000000
168        41.75                  0.000000
169        42.00                 -0.000000
170        42.25                 -0.000000
171        42.50                  0.000000
172        42.75                 -0.000000
173        43.00                  0.000000
174        43.25                 -0.000000
175        43.50                 -0.000000
176        43.75                  0.000000
177        44.00                 -0.000000
178        44.25                  0.000000
179        44.50                 -0.000000
180        44.75                 -0.000000
181        45.00                  0.000000
182        45.25                 -0.000000
183        45.50                  0.000000
184        45.75                 -0.000000
185        46.00                  0.000000
186        46.25                  0.000000
187        46.50                 -0.000000
188        46.75                  0.000000
189        47.00                 -0.000000
190        47.25                  0.000000
191        47.50                  0.000000
192        47.75                 -0.000000
193        48.00                  0.000000
194        48.25                 -0.000000
195        48.50                  0.000000
196        48.75                  0.000000
197        49.00                 -0.000000
198        49.25                  0.000000
199        49.50                 -0.000000
200        49.75                  0.000000
