"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.221101035E0,5.832615495E-2,-8.836936951E-2,-1.211350709E-1
1.251093667E0,4.322473705E-2,-4.725551605E-2,-8.632263541E-2
1.281086366E0,-2.194697037E-2,9.681892395E-2,-1.590396464E-2
1.311085732E0,-6.457199156E-2,2.025547028E-1,7.018961757E-2
1.341078431E0,-9.389606118E-2,-5.099105835E-2,1.632017195E-1
1.371071096E0,-4.541581869E-2,-1.562767029E-1,1.624661833E-1
1.401063794E0,3.516425192E-2,-6.539440155E-2,1.499480605E-1
1.431056659E0,8.180383593E-3,-1.781425476E-1,7.050649822E-2
1.461049291E0,-1.946333982E-2,-3.460597992E-1,-8.795183897E-2
1.491041989E0,5.706957728E-2,-2.770662308E-1,-1.604172885E-1
1.521034521E0,1.459508091E-1,-2.032670975E-1,-2.334081382E-1
1.551027219E0,1.473179311E-1,-2.656841278E-1,-2.652913332E-1
1.581019884E0,1.764721423E-1,-2.176628113E-1,-2.367364019E-1
1.611005783E0,1.121018082E-1,-7.607364655E-2,-2.102513611E-1
1.640997382E0,4.186609015E-2,1.327047348E-1,-1.825014800E-1
1.670990080E0,-1.090098321E-1,1.379766464E-1,-1.728117466E-2
1.700982712E0,-1.872358918E-1,-5.573654175E-2,8.946553618E-2
1.730975377E0,-1.473330557E-1,-1.179037094E-1,1.433867365E-1
1.760968075E0,-4.644238204E-2,-8.911705017E-2,7.674655318E-2
1.790960707E0,3.230316192E-2,-1.728696823E-1,8.757863939E-2
1.820959872E0,5.888744071E-2,-3.595876694E-1,8.144618571E-2
1.850952537E0,5.735460669E-2,-3.332881927E-1,1.680807769E-2
1.880945202E0,1.359861065E-2,-4.411087036E-1,-6.772825867E-2
1.910937900E0,-2.868913859E-2,-4.890317917E-1,-1.265419126E-1
1.940930633E0,3.052124754E-2,-6.805334091E-1,-1.037969142E-1
1.970923298E0,9.956301004E-2,-4.051380157E-1,-1.128491163E-1
2.000916097E0,1.021182388E-1,-7.950782776E-2,-5.115501955E-2
2.030913062E0,-4.859782755E-3,1.621570587E-1,8.175547421E-2
2.060905727E0,-3.763590008E-2,1.069526672E-1,1.043595225E-1
2.090898425E0,-1.983399689E-2,-3.909969330E-2,-4.386910237E-3
2.120884623E0,3.200666606E-2,-1.659784317E-1,-8.949995041E-2
2.150877288E0,7.199607044E-2,3.752326965E-2,-9.771956503E-2
2.180870053E0,3.410356492E-2,2.070713043E-2,-1.343017220E-1
2.210862718E0,3.219261765E-2,-2.090835571E-1,-8.240677416E-2
2.240856516E0,5.817572027E-2,-3.311128616E-1,-1.980775893E-1
2.270849181E0,1.258597076E-1,-6.158761978E-1,-1.428087056E-1
2.300841747E0,1.551376581E-1,-7.211103439E-1,4.331256077E-2
2.330830145E0,1.688048840E-1,-7.020711899E-1,1.325293034E-1
2.360822877E0,1.569161415E-1,-4.653015137E-1,1.263558865E-1
2.390815542E0,3.909903765E-2,-4.009313583E-1,5.635850504E-2
2.420808207E0,-6.365216523E-2,-3.628892899E-1,5.005216599E-2
2.450800939E0,-1.114677414E-1,-4.685335159E-1,1.441501081E-3
2.480793504E0,-1.130986363E-1,-3.251771927E-1,-1.357875913E-1
2.510786202E0,-1.175824180E-1,-1.696882248E-1,-2.011207640E-1
2.540778834E0,-1.252375543E-1,1.450538635E-2,-1.854166240E-1
2.560874000E0,-1.384083629E-1,3.376684189E-1,-1.028465554E-1
2.581002433E0,-7.071414590E-2,5.507087708E-1,-4.340514541E-3
2.601130866E0,-2.847008407E-2,5.482749939E-1,5.067563802E-2
2.621259266E0,-7.285079360E-2,2.441406250E-1,6.582738459E-2
2.641389132E0,-2.314786613E-2,1.555852890E-1,1.045667380E-1
2.661517498E0,4.315496236E-2,2.131671906E-1,1.315686405E-1
2.681645931E0,1.163629070E-1,1.462707520E-1,5.450066924E-2
