,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,0.0,0.16840672489999997,-0.1698226929,-0.02808308601
20,0.599851341,-0.08621844649,0.03312587738,0.01542502642
40,1.199707008,0.06854593753999999,-0.10135746,-0.06497991085
60,1.650594559,-0.007799565792000001,-1.268884659,0.062408983710000004
80,2.180800269,-0.2956478,2.412134171,0.35977771880000003
100,2.681342945,-0.2382305861,1.3056631090000002,-0.33015704149999997
120,3.281196649,0.14168193939999998,-2.025706291,-0.20231950280000002
140,3.881050218,0.08349248022000001,-0.8817682266,0.3148834407
160,4.481345814,-0.1437307298,0.11339664460000001,-0.36851012710000003
180,5.081199216,0.03130305186,0.2406511307,0.4594412446
200,5.681052684,-0.1468430758,0.02474594116,-0.5282990336
220,6.280906151,0.01034326106,-0.2655858994,-0.111156404
240,6.880759618,0.24514710899999997,0.05192375183,-0.06431028247000001
260,7.342147037,-0.05398949981000001,0.03687381744,-0.3131606877
